Job Title,Company Name,Salary,Job Category,city,State
Supervisory Life Scientist/Environmental Engineer/Physical Scientist,Other Agencies and Independent Organizations,11620,Data Engineer,Corvallis,Oregon
Supervisory Interdisciplinary Engineer/Architect - Virtual Career Fair,Department of the Army,93677,Data Engineer,No location provided,
"Supervisory Life Scientist, Physical Scientist, Environmental Engineer",Other Agencies and Independent Organizations,12938,Data Engineer,Lenexa,Kansas
"Supervisory Life Scientist, Physical Scientist, Environmental Engineer",Other Agencies and Independent Organizations,12938,Data Engineer,Lenexa,Kansas
Supervisory Environmental Engineer/ Physical Scientist/ Life Scientist,Other Agencies and Independent Organizations,11938,Data Engineer,Denver,Colorado
Information Technology Specialist (Network Services)  (Network Engineer),Non-Federal Civilian Customers,10369,Data Engineer,Washington,District of Columbia
Interdisciplinary ( Biologist/General Engineer/General Physical Scientist),Department of the Army,10260,Data Engineer,Concord,Massachusetts
Engineering Technician (Civil) (Open to both U.S. Citizens and Federal Employees),Department of Transportation,77488,Data Engineer,Lakewood,Colorado
Civil Engineer (Highway Design) (Open to both U.S. Citizens and Federal Employees),Department of Transportation,48978,Data Engineer,Vancouver,Washington
General Engineer/Physical Scientist/Life Scientist (Remedial Project Manager),Other Agencies and Independent Organizations,99319,Data Engineer,Dallas,Texas
General Engineer/Physical Scientist/Life Scientist (Remedial Project Manager),Other Agencies and Independent Organizations,69684,Data Engineer,Dallas,Texas
NATURAL RESOURCES SPECIALIST/ENVIRONMENTAL ENGINEER/PHYSICAL SCIENTIST,Department of the Navy,10369,Data Engineer,Pentagon,Virginia
Interdisciplinary - Industrial Hygiene & Safety Manager/Supv Safety Engineer,Department of Defense,14412,Data Engineer,Fort Belvoir,Virginia
"Special Agent - Science, Technology, Engineering and Mathematics (STEM) Background",Department of Justice,62556,Data Engineer,No location provided,
Civil Engineer (Highway - Construction) (Open to both U.S. Citizens and Federal Employees),Department of Transportation,48978,Data Engineer,No location provided,
Engineering Technician (Civil) Design (Open to both U.S. Citizens and Federal Employees),Department of Transportation,46618,Data Engineer,Vancouver,Washington
Civil Engineer (Highway - Construction) (Open to both U.S. Citizens and Federal Employees),Department of Transportation,39540,Data Engineer,No location provided,
Civil Engineer (Highway - Construction) (Open to both U.S. Citizens and Federal Employees),Department of Transportation,39540,Data Engineer,No location provided,
"Supervisory Interdisciplinary (General Engineer, Landscape Architect, Architect)",Department of the Interior,92143,Data Engineer,No location provided,
"AST, Aerospace Vehicle Design and Mission Analysis, Aerospace Engineer (Direct Hire)",National Aeronautics and Space Administration,64961,Data Engineer,Hampton,Virginia
Lead Biologist/Toxicologist/Environmental Engineer/Physical Scientist/Chemist,Other Agencies and Independent Organizations,12253,Data Engineer,Washington,District of Columbia
"AST, Aerospace Vehicle Design and Mission Analysis (Aerospace Engineer) (Direct Hire)",National Aeronautics and Space Administration,48978,Data Engineer,Hampton,Virginia
"Public Notice for Scientific, Technical, Engineering, and Mathematics (STEM) Positions",Department of Transportation,61977,Data Engineer,No location provided,
"Public Notice for Scientific, Technical, Engineering, and Mathematics (STEM) Positions",Department of Transportation,46784,Data Engineer,No location provided,
"Public Notice for Scientific, Technical, Engineering, and Mathematics (STEM) Positions",Department of Transportation,31428,Data Engineer,No location provided,
Engineering Technician (Civil) (Seasonal) (Open to both U.S. Citizens and Federal Employees),Department of Transportation,74260,Data Engineer,Lakewood,Colorado
SUPERVISORY ENVIRONMENTAL ENGINEER/NATURAL RESOURCES SPECIALIST/PHYSICAL SCIENTIST,Department of the Navy,88488,Data Engineer,Barstow,California
"Interdisciplinary Project Manager (General Engineer, Landscape Architect, Architect)",Department of the Interior,64649,Data Engineer,No location provided,
"Flight Projects Development Program (AST, Technical Engineer Operations Management)",National Aeronautics and Space Administration,12253,Data Engineer,Greenbelt,Maryland
Life Scientist/Physical Scientist/ Environmental Engineer (Remedial Project Manager),Other Agencies and Independent Organizations,50476,Data Engineer,New York,New York
Environmental Engineer/Physical Scientist/Life Scientist/Geologist/Toxicologist,Other Agencies and Independent Organizations,84886,Data Engineer,No location provided,
Engineering Technician (Civil - Construction) (Open to both U.S. Citizens and Federal Employees),Department of Transportation,43683,Data Engineer,No location provided,
Supervisory Environmental Engineer/Physical Scientist/Life Scientist (Branch Supervisor),Other Agencies and Independent Organizations,14799,Data Engineer,New York,New York
Interdisciplinary General/Civil/Environmental/Mechanical/Electrical Engineer/Architect,Department of the Army,65725,Data Engineer,No location provided,
INTERDISCIPLINARY ENVIRONMENTAL ENGINEER/PHYSICAL SCIENTIST/NATURAL RESOURCES SPECIALIST,Department of the Navy,79468,Data Engineer,No location provided,
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,87198,Data Engineer,Patuxent River,Maryland
Data Scientist,Department of Defense,65597,Data Scientist,No location provided,
Data Scientist,Department of Defense,93494,Data Scientist,No location provided,
Data Scientist,Department of Health And Human Services,72750,Data Scientist,Woodlawn,Maryland
Interdisciplinary (Data Scientist),Department of Agriculture,92143,Data Scientist,No location provided,
TECHNICAL DIRECTOR (DATA SCIENTIST),Department of the Air Force,14412,Data Scientist,Andrews AFB,Maryland
Supervisory Statistician (Data Scientist),Department of the Treasury,12253,Data Scientist,No location provided,
Supervisory Program Analyst (Data Scientist),General Services Administration,10888,Data Scientist,No location provided,
Supervisory Program Analyst (Data Scientist),General Services Administration,10888,Data Scientist,No location provided,
Physical Scientist/Biologist/Mathematical Statistician (Data Scientist),Department of the Interior,53433,Data Scientist,No location provided,
Physical Scientist/Biologist/Mathematical Statistician (Data Scientist),Department of the Interior,77488,Data Scientist,No location provided,
Operations Research Analyst (Senior Financial Data Scientist),Department of the Treasury,13755,Data Scientist,No location provided,
Operations Research Analyst (Senior Financial Data Scientist),Department of the Treasury,13755,Data Scientist,No location provided,
Data Analyst,Other Agencies and Independent Organizations,87198,Data Scientist,Washington,District of Columbia
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,92143,Data Scientist,No location provided,
Data Technician NF2,Department of the Navy,26000,Data Scientist,Quantico,Virginia
SCIENTIST,Department of the Navy,31520,Data Scientist,Crane,Indiana
IT Specialist (DATAMGT),Department of Veterans Affairs,46083,Data Scientist,No location provided,
IT Specialist (DATAMGT),Department of the Treasury,11961,Data Scientist,Washington,District of Columbia
IT Specialist (DATAMGT),Department of the Treasury,11961,Data Scientist,Washington,District of Columbia
IT SPECIALIST (DATAMGT) T5,Department of the Army,55355,Data Scientist,Phoenix,Arizona
IT SPECIALIST( DATAMGT),Department of the Air Force,87198,Data Scientist,Andrews AFB,Maryland
Product Data Specialist,Department of Defense,45216,Data Scientist,Whitehall,Ohio
IT Specialist (DATAMGT),Department of the Army,10369,Data Scientist,Fort Meade,Maryland
Social Scientist/Biological Scientist/Physical Scientist,Department of Agriculture,64649,Data Scientist,No location provided,
IT SPECIALIST (DATAMGT) (T32),Department of the Army,65792,Data Scientist,Montgomery,Alabama
R&D Scientist,Department of Defense,10369,Data Scientist,Springfield,Virginia
Data Analytics Specialist,General Services Administration,10369,Data Scientist,Washington DC,District of Columbia
Data Analytics Specialist,General Services Administration,10369,Data Scientist,Washington DC,District of Columbia
Social Scientist/Biological Scientist,Department of Agriculture,53433,Data Scientist,No location provided,
Social Scientist/Biological Scientist,Department of Agriculture,64649,Data Scientist,No location provided,
Program Analyst (Data Science),Department of Veterans Affairs,66829,Data Scientist,No location provided,
IT Specialist (APPSW/DATAMGMT),Other Agencies and Independent Organizations,87198,Data Scientist,Arlington,Virginia
Soil Scientist,Department of Agriculture,92143,Data Scientist,No location provided,
IT SPECIALIST (NETWORK/DATAMGT),Department of the Army,45393,Data Scientist,No location provided,
IT Specialist (Data Management),Department of Veterans Affairs,66829,Data Scientist,No location provided,
IT Specialist (Data Management),Department of Transportation,83458,Data Scientist,No location provided,
IT SPECIALIST (DATA MANAGEMENT),Department of Defense,10369,Data Scientist,Bethesda,Maryland
IT Specialist (Data Management),Legislative Branch,10369,Data Scientist,District of Columbia,District of Columbia
IT Specialist (Data Management),Department of the Army,98151,Data Scientist,Key West,Florida
Nurse Scientist,Department of Veterans Affairs,60754,Data Scientist,Madison,Wisconsin
Nurse Scientist,Department of Veterans Affairs,60754,Data Scientist,Madison,Wisconsin
Health Scientist,Department of Health And Human Services,79468,Data Scientist,No location provided,
Health Scientist,Department of Health And Human Services,79468,Data Scientist,No location provided,
Health Scientist,Department of Health And Human Services,11046,Data Scientist,No location provided,
Health Scientist,Department of Health And Human Services,11046,Data Scientist,No location provided,
Health Scientist,Department of Health And Human Services,10369,Data Scientist,Beltsville,Maryland
Health Scientist,Department of Health And Human Services,72750,Data Scientist,Beltsville,Maryland
Health Scientist,Department of Health And Human Services,11471,Data Scientist,Atlanta,Georgia
Health Scientist,Department of Health And Human Services,97078,Data Scientist,Atlanta,Georgia
Health Scientist,Department of Health And Human Services,97078,Data Scientist,Atlanta,Georgia
Physical Scientist,Department of the Air Force,55756,Data Scientist,No location provided,
Computer Scientist,Department of the Air Force,66829,Data Scientist,No location provided,
ENGINEER/SCIENTIST,Department of the Navy,64961,Data Scientist,Dahlgren,Virginia
ENGINEER/SCIENTIST,Department of the Navy,72750,Data Scientist,Dahlgren,Virginia
COMPUTER SCIENTIST,Department of the Navy,87198,Data Scientist,Saint Inigoes,Maryland
Computer Scientist,Department of the Air Force,50106,Data Scientist,No location provided,
Physical Scientist,Department of Energy,64649,Data Scientist,No location provided,
Computer Scientist,Department of the Air Force,30414,Data Scientist,No location provided,
Physical Scientist,Department of Energy,84960,Data Scientist,No location provided,
Computer Scientist,Department of the Treasury,11097,Data Scientist,No location provided,
COMPUTER SCIENTIST,Department of the Navy,87198,Data Scientist,Stafford,Virginia
PHYSICAL SCIENTIST,Department of the Interior,53286,Data Scientist,Santa Cruz,California
ENGINEER/SCIENTIST,Department of the Navy,10369,Data Scientist,Dahlgren,Virginia
ENGINEER/SCIENTIST,Department of the Navy,71987,Data Scientist,Naval Base Newport,Rhode Island
ENGINEER/SCIENTIST,Department of the Navy,71987,Data Scientist,Naval Base Newport,Rhode Island
COMPUTER SCIENTIST,Department of the Army,10647,Data Scientist,Picatinny Arsenal,New Jersey
ENGINEER/SCIENTIST,Department of the Navy,71987,Data Scientist,Naval Base Newport,Rhode Island
COMPUTER SCIENTIST,Department of the Air Force,10888,Data Scientist,Eglin AFB,Florida
Physical Scientist,Other Agencies and Independent Organizations,12253,Data Scientist,Washington,District of Columbia
Physical Scientist,Department of the Interior,12253,Data Scientist,Sterling,Virginia
Oracle Database Administrator NF4,Department of the Navy,87000,Data Scientist,Quantico,Virginia
Local Hire (Data Analysis Specialist),Department of Homeland Security,61959,Data Scientist,Baton Rouge,Louisiana
Local Hire (Data Analysis Specialist),Department of Homeland Security,51200,Data Scientist,Baton Rouge,Louisiana
Supervisory IT Specialist (DATAMGT),Department of Commerce,10369,Data Scientist,Alexandria,Virginia
Supervisory IT Specialist (DATAMGT),Department of Commerce,10369,Data Scientist,Alexandria,Virginia
BIOLOGICAL SCIENTIST,Department of the Air Force,55756,Data Scientist,No location provided,
Health System Specialist (Data Analyst),Department of Veterans Affairs,59498,Data Scientist,West Roxbury,Massachusetts
Environmental Engineer/Physical Scientist/Life Scientist,Other Agencies and Independent Organizations,10218,Data Scientist,Chicago,Illinois
Life Scientist/Physical Scientist/Environmental Engineer,Other Agencies and Independent Organizations,44128,Data Scientist,No location provided,
Life Scientist/Environmental Engineer/Physical Scientist,Other Agencies and Independent Organizations,92143,Data Scientist,Gulfport,Mississippi
Environmental Engineer/Physical Scientist/Life Scientist,Other Agencies and Independent Organizations,10218,Data Scientist,Chicago,Illinois
Supervisory Data Analytics Specialist,General Services Administration,11046,Data Scientist,No location provided,
SUPERVISORY IT SPECIALIST (DATAMGT/APPSW),Department of the Air Force,13164,Data Scientist,Wright-Patterson AFB,Ohio
Supervisory Research Range Scientist/Research Soil Scientist,Department of Agriculture,10888,Data Scientist,Reno,Nevada
Interdisciplinary (Data Research Analyst),Other Agencies and Independent Organizations,10369,Data Scientist,Alexandria,Virginia
Lead IT Specialist (Network/Data Management),Other Agencies and Independent Organizations,12253,Data Scientist,Washington,District of Columbia
Interdisciplinary (Data Analytics Officer),Other Agencies and Independent Organizations,14893,Data Scientist,Alexandria,Virginia
Supervisory Social Scientist/Supervisory Biological Scientist,Department of Agriculture,84960,Data Scientist,Fort Collins,Colorado
Life Scientist/Physical Scientist/Environmental Engineer (OSC/RPM),Other Agencies and Independent Organizations,44128,Data Scientist,No location provided,
FINANCIAL MANAGEMENT ANALYST (DATA ANALYTICS),Department of Defense,53880,Data Scientist,Indianapolis,Indiana
Supervisory Life Scientist/Environmental Engineer/Physical Scientist,Other Agencies and Independent Organizations,11620,Data Scientist,Corvallis,Oregon
"Supervisory Life Scientist, Physical Scientist, Environmental Engineer",Other Agencies and Independent Organizations,12938,Data Scientist,Lenexa,Kansas
"Supervisory Life Scientist, Physical Scientist, Environmental Engineer",Other Agencies and Independent Organizations,12938,Data Scientist,Lenexa,Kansas
Supervisory Environmental Engineer/ Physical Scientist/ Life Scientist,Other Agencies and Independent Organizations,11938,Data Scientist,Denver,Colorado
COMPUTER SCIENTIST/ENGINEER,Department of the Air Force,77488,Data Scientist,Eglin AFB,Florida
"Supervisory Computer Engineer, AST, Data Systems",National Aeronautics and Space Administration,14412,Data Scientist,Greenbelt,Maryland
General Engineer/Physical Scientist/Life Scientist (Remedial Project Manager),Other Agencies and Independent Organizations,99319,Data Scientist,Dallas,Texas
General Engineer/Physical Scientist/Life Scientist (Remedial Project Manager),Other Agencies and Independent Organizations,69684,Data Scientist,Dallas,Texas
Clinical Laboratory Scientist,Department of Health And Human Services,46466,Data Scientist,No location provided,
Clinical Laboratory Scientist,Department of Health And Human Services,46466,Data Scientist,No location provided,
Clinical Laboratory Scientist,Department of Health And Human Services,54753,Data Scientist,No location provided,
Clinical Laboratory Scientist,Department of Health And Human Services,54753,Data Scientist,No location provided,
Clinical Laboratory Scientist,Department of Health And Human Services,54753,Data Scientist,No location provided,
Clinical Laboratory Scientist,Department of Health And Human Services,46466,Data Scientist,No location provided,
Clinical Laboratory Scientist,Department of Health And Human Services,46466,Data Scientist,No location provided,
Clinical Laboratory Scientist,Department of Health And Human Services,46466,Data Scientist,No location provided,
Clinical Laboratory Scientist,Department of Health And Human Services,46466,Data Scientist,No location provided,
Clinical Laboratory Scientist,Department of the Army,54277,Data Scientist,Fort Carson,Colorado
Clinical Laboratory Scientist,Department of the Army,61742,Data Scientist,West Point,New York
Clinical Laboratory Scientist,Department of Health And Human Services,46466,Data Scientist,Toppenish,Washington
Clinical Laboratory Scientist,Department of Health And Human Services,46466,Data Scientist,Toppenish,Washington
Clinical Laboratory Scientist,Department of Health And Human Services,46466,Data Scientist,Phoenix,Arizona
Clinical Laboratory Scientist,Department of Health And Human Services,46466,Data Scientist,Phoenix,Arizona
Clinical Laboratory Scientist,Department of the Army,54277,Data Scientist,Fort Carson,Colorado
Clinical Laboratory Scientist,Department of the Army,61742,Data Scientist,West Point,New York
Clinical Laboratory Scientist,Department of the Army,54227,Data Scientist,Fort Carson,Colorado
Clinical Laboratory Scientist,Department of Health And Human Services,64649,Data Scientist,Nespelem,Washington
Clinical Laboratory Scientist,Department of Health And Human Services,64649,Data Scientist,Nespelem,Washington
Clinical Laboratory Scientist,Department of Defense,55525,Data Scientist,Fort Bragg,North Carolina
Clinical Laboratory Scientist,Department of the Army,70821,Data Scientist,Tacoma,Washington
CLINICAL LABORATORY SCIENTIST,Department of the Air Force,65340,Data Scientist,Davis Monthan AFB,Arizona
CLINICAL LABORATORY SCIENTIST,Department of the Navy,64649,Data Scientist,Jacksonville Naval Hospital,Florida
Instructor of Library Data Services and Research,Department of the Air Force,63980,Data Scientist,Air Force Academy,Colorado
CLINICAL LABORATORY SCIENTIST,Department of the Air Force,65340,Data Scientist,Davis Monthan AFB,Arizona
CLINICAL LABORATORY SCIENTIST,Department of the Navy,64649,Data Scientist,Jacksonville Naval Hospital,Florida
Research Animal Scientist (Dairy),Department of Agriculture,64649,Data Scientist,Madison,Wisconsin
"Physical Scientist, GS-1301-15 (MAP)",Department of Commerce,13805,Data Scientist,Fort Worth,Texas
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723,Data Scientist,Gallup,New Mexico
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723,Data Scientist,Gallup,New Mexico
Clinical Laboratory Scientist - DE,Department of Health And Human Services,45466,Data Scientist,No location provided,
Clinical Laboratory Scientist - DE,Department of Health And Human Services,55299,Data Scientist,No location provided,
Clinical Laboratory Scientist (CAC),Department of Health And Human Services,65051,Data Scientist,Crownpoint,New Mexico
Physical Scientist (Environmental),Department of the Air Force,43683,Data Scientist,No location provided,
Senior Scientist for Astrobiology,National Aeronautics and Space Administration,13552,Data Scientist,Moffett Field,California
Cancer Center - Physician Scientist,Department of Veterans Affairs,18000,Data Scientist,Richmond,Virginia
Social Scientist (Program Director),Other Agencies and Independent Organizations,14893,Data Scientist,Alexandria,Virginia
Life Scientist/Physical Scientist/ Environmental Engineer (Remedial Project Manager),Other Agencies and Independent Organizations,50476,Data Scientist,New York,New York
Environmental Engineer/Physical Scientist/Life Scientist/Geologist/Toxicologist,Other Agencies and Independent Organizations,84886,Data Scientist,No location provided,
Lead Clinical Laboratory Scientist,Department of the Army,70821,Data Scientist,Tacoma,Washington
"Senior IT Specialist, (DATAMGT) CG-2210-15 TEMP PROM NTE 1 YEAR",Other Agencies and Independent Organizations,12962,Data Scientist,Washington,District of Columbia
Interdisciplinary (Supervisory Data Analytics Officer),Other Agencies and Independent Organizations,14893,Data Scientist,Alexandria,Virginia
Biological Scientist (Environmental),Department of the Air Force,43683,Data Scientist,No location provided,
Biological Scientist (Environmental),Department of the Air Force,43683,Data Scientist,No location provided,
BIOLOGICAL SCIENTIST (ENVIRONMENTAL),Department of the Air Force,43683,Data Scientist,Laughlin AFB,Texas
BIOLOGICAL SCIENTIST (ENVIRONMENTAL),Department of the Air Force,80275,Data Scientist,Luke AFB,Arizona
General Engineer/Physical Scientist,Department of Energy,10957,Data Scientist,Albuquerque,New Mexico
Supervisory Environmental Engineer/Physical Scientist/Life Scientist (Branch Supervisor),Other Agencies and Independent Organizations,14799,Data Scientist,New York,New York
Supervisory Social Scientist/Supervisory Economist/Supervisory Biological Scientist,Department of Agriculture,11620,Data Scientist,Corvallis,Oregon
Clinical Laboratory Scientist - ESEP/MP,Department of Health And Human Services,45466,Data Scientist,No location provided,
"General Engineer/Scientist, GG-7/9; FPL 13",Other Agencies and Independent Organizations,56034,Data Scientist,No location provided,
Clinical Laboratory Scientist ESEP/MP,Department of Health And Human Services,55299,Data Scientist,No location provided,
IT CYBERSECURITY SPECIALIST (DATAMGT/INFOSEC),Department of Defense,77488,Data Scientist,No location provided,
IT CYBERSECURITY SPECIALIST (DATAMGT/INFOSEC),Department of Defense,77488,Data Scientist,No location provided,
Supervisory Management and Program Analyst (Data Analytics),Department of Defense,12807,Data Scientist,No location provided,
INTERDISCIPLINARY ENGINEER/SCIENTIST,Department of the Navy,64649,Data Scientist,Orlando,Florida
INTERDISCIPLINARY ENGINEER/SCIENTIST,Department of the Navy,88488,Data Scientist,Point Mugu,California
Interdisciplinary Scientist/Engineer,Department of the Navy,88488,Data Scientist,China Lake,California
INTERDISCIPLINARY ENGINEER/SCIENTIST,Department of the Navy,88488,Data Scientist,Point Mugu,California
Interdisciplinary Engineer/Scientist,Department of the Army,87198,Data Scientist,Aberdeen Proving Ground,Maryland
Clinical Laboratory Scientist (COVID-19),Department of Health And Human Services,60129,Data Scientist,Montgomery County,Maryland
Registered Nurse-(Researcher/Scientist),Department of Veterans Affairs,62250,Data Scientist,Chicago,Illinois
Research Soil Scientist/Research Agronomist/Research Ecologist/Research Physical Scientist,Department of Agriculture,87198,Data Scientist,Beltsville,Maryland
Criminal Investigator for HQ Data Analytics & Computer Crimes,Department of Transportation,10369,Data Scientist,District of Columbia,District of Columbia
Executive Director Clinical Informatics and Data Management,Department of Veterans Affairs,14500,Data Scientist,No location provided,
Supervisory Medical Laboratory Scientist,Department of Health And Human Services,77488,Data Scientist,Red Lake,Minnesota
Supervisory Medical Laboratory Scientist,Department of Health And Human Services,77488,Data Scientist,Red Lake,Minnesota
Supervisory Clinical Laboratory Scientist,Department of Health And Human Services,77488,Data Scientist,Pine Ridge,South Dakota
Supervisory Clinical Laboratory Scientist,Department of Health And Human Services,65051,Data Scientist,Lawrence,Kansas
Supervisory Clinical Laboratory Scientist,Department of Health And Human Services,65051,Data Scientist,Lawrence,Kansas
Nuclear Systems Engineer/Scientist (HOO/HERO),Other Agencies and Independent Organizations,10369,Data Scientist,Rockville,Maryland
Supervisory Clinical Laboratory Scientist,Department of the Army,53433,Data Scientist,Fort Hood,Texas
Environmental Engineer/Physical Scientist,Other Agencies and Independent Organizations,10218,Data Scientist,Chicago,Illinois
Research Health Scientist - TERM APPOINTMENT,Department of Veterans Affairs,66450,Data Scientist,Dayton,Ohio
Senior Research Scientist (Quantum Sciences),Department of the Army,13255,Data Scientist,Adelphi,Maryland
INFORMATION TECHNOLOGY SPECIALIST (SYSTEM ANALYSIS/ DATA MANAGEMENT),Department of the Navy,92143,Data Scientist,Naval Air Station Jacksonville,Florida
"Supervisory Physical Scientist, GS-1301-15 (MAP)",Department of Commerce,14412,Data Scientist,Silver Spring,Maryland
Registered Nurse Scientist/Nurse Researcher,Department of Veterans Affairs,87450,Data Scientist,Kansas City,Missouri
Student Trainee (Computer Scientist) (PATHWAYS),Department of Commerce,25093,Data Scientist,Boulder,Colorado
Chief Scientist 711th Human Performance Wing,Department of the Air Force,14481,Data Scientist,Wright-Patterson AFB,Ohio
Public Notice for Physical Scientist Positions,Department of Transportation,56205,Data Scientist,No location provided,
Public Notice for Physical Scientist Positions,Department of Transportation,55756,Data Scientist,No location provided,
Biologist/Physical Scientist (Program Officer),Department of the Interior,10102,Data Scientist,Lakewood,Colorado
Biologist/Physical Scientist (Program Officer),Department of the Interior,10102,Data Scientist,Lakewood,Colorado
"Environmental Scientist, ZP-0401-3/4 (Direct Hire)",Department of Commerce,64649,Data Scientist,No location provided,
"Chemical Engineer, Physical Scientist, or Chemist",Other Agencies and Independent Organizations,49157,Data Scientist,Rockville,Maryland
"Chemical Engineer, Physical Scientist, or Chemist",Other Agencies and Independent Organizations,49157,Data Scientist,Rockville,Maryland
"Computer Scientist, GS-1550-07/09/11/12, Census-MP-WKD",Department of Commerce,49157,Data Scientist,Suitland,Maryland
"Computer Scientist, GS-1550-07/09/11/12, Census-DE-WKD",Department of Commerce,49157,Data Scientist,Suitland,Maryland
Information Technology Specialist (Data Management/Systems Analysis),Department of the Navy,77862,Data Scientist,Norfolk,Virginia
SUPERVISORY INTERDISCIPLINARY ENGINEER/SCIENTIST,Department of the Navy,12434,Data Scientist,No location provided,
Interdisciplinary (GIS) Physical Scientist,Department of the Interior,93494,Data Scientist,Alton,Illinois
SUPERVISORY INTERDISCIPLINARY ENGINEER/SCIENTIST,Department of the Navy,12253,Data Scientist,Saint Inigoes,Maryland
Supervisory Interdisciplinary Engineer/Scientist,Department of the Army,12253,Data Scientist,Aberdeen Proving Ground,Maryland
Clinical Laboratory Scientist (Medical Technologist),Department of Justice,51447,Data Scientist,Butner Federal Correctional Complex,North Carolina
Senior Research Scientist  (Signal and Image Processing),Department of the Army,13255,Data Scientist,Fort Belvoir,Virginia
Supervisory Physical Scientist (Deputy Center Director),Department of the Interior,10888,Data Scientist,No location provided,
Research Agronomist/Soil Scientist/ Agricultural Engineer,Department of Agriculture,87198,Data Scientist,Beltsville,Maryland
Interdisciplinary Computer Engineer / Computer Scientist,Legislative Branch,10840,Data Scientist,Washington,District of Columbia
Supervisory Biologist/Physical Scientist (Center Director),Department of the Interior,12807,Data Scientist,No location provided,
Interdisciplinary Physical Scientist/Biologist/Geographer,Department of the Interior,53433,Data Scientist,Sioux Falls,South Dakota
Interdisciplinary Physical Scientist/Biologist/Geographer,Department of the Interior,53433,Data Scientist,Sioux Falls,South Dakota
Public Notice for Computer Scientist Cybersecurity Positions,Department of Transportation,66829,Data Scientist,No location provided,
Public Notice for Computer Scientist Cybersecurity Positions,Department of Transportation,56205,Data Scientist,No location provided,
Supervisory Clinical Laboratory Scientist (Cytotechnologist),Department of Health And Human Services,65051,Data Scientist,Phoenix,Arizona
Supervisory Clinical Laboratory Scientist (Cytotechnologist),Department of Health And Human Services,65051,Data Scientist,Phoenix,Arizona
INTERDISCIPLINARY ENVIRONMENTAL ENGINEER/PHYSICAL SCIENTIST,Department of the Navy,10522,Data Scientist,Ventura,California
Social Scientist/Natural Resource Specialist/General Engineer.,Department of Agriculture,92143,Data Scientist,Golden Pond,Kentucky
INTERDISCIPLINARY ENVIRONMENTAL ENGINEER/ PHYSICAL SCIENTIST,Department of the Navy,12253,Data Scientist,Washington Navy Yard,District of Columbia
INTERDISCIPLINARY- ENVIRONMENTAL ENGINEER OR PHYSICAL SCIENTIST,Department of the Navy,10522,Data Scientist,China Lake,California
Interdisciplinary Natural Resource Specialist/Physical Scientist,Department of Agriculture,92143,Data Scientist,Ogden,Utah
Biologist/Physical Scientist/Chemist (Quality Assurance Manager),Other Agencies and Independent Organizations,95751,Data Scientist,Durham,North Carolina
Emergency Management Specialist (GIS) (Geospatial and Data Analytics Cell Analyst) Intermittent,Department of Homeland Security,43740,Data Scientist,No location provided,
Interdisciplinary Position (Electronics Engineer / Physical Scientist),Other Agencies and Independent Organizations,12253,Data Scientist,Washington,District of Columbia
"Computer Scientist, AST, Computer Research and Development (Direct Hire)",National Aeronautics and Space Administration,80743,Data Scientist,Cleveland,Ohio
Interdisciplinary ( Biologist/General Engineer/General Physical Scientist),Department of the Army,10260,Data Scientist,Concord,Massachusetts
Social Scientist/Natural Resource Manager (Recreation)/Landscape Architect,Department of Agriculture,77488,Data Scientist,Willows,California
NATURAL RESOURCES SPECIALIST/ENVIRONMENTAL ENGINEER/PHYSICAL SCIENTIST,Department of the Navy,10369,Data Scientist,Pentagon,Virginia
Interdisciplinary Chief Scientist (Open to both U.S. Citizens and Federal Employees),Department of Transportation,14412,Data Scientist,Washington,District of Columbia
Lead Biologist/Toxicologist/Environmental Engineer/Physical Scientist/Chemist,Other Agencies and Independent Organizations,12253,Data Scientist,Washington,District of Columbia
Health Scientist Administrator - Technology Assessment Program Director - PD 21E026,Department of Health And Human Services,14412,Data Scientist,Rockville,Maryland
Health Scientist Administrator - Technology Assessment Program Director - PD 21E026,Department of Health And Human Services,14412,Data Scientist,Rockville,Maryland
INTERDISCIPLINARY COMPUTER SCIENTIST/COMPUTER ENGINEER/ELECTRONICS ENGINEER,Department of the Air Force,10260,Data Scientist,Hanscom AFB,Massachusetts
Supervisory Social Scientist/Natural Resource Specialist/Landscape Architect,Department of Agriculture,10304,Data Scientist,Anchorage,Alaska
SUPERVISORY ENVIRONMENTAL ENGINEER/NATURAL RESOURCES SPECIALIST/PHYSICAL SCIENTIST,Department of the Navy,88488,Data Scientist,Barstow,California
"Computer Engineer, Computer Scientist, Electrical Engineer, or Electronics Engineer",Other Agencies and Independent Organizations,12253,Data Scientist,Rockville,Maryland
INTERDISCIPLINARY ENVIRONMENTAL ENGINEER/PHYSICAL SCIENTIST/NATURAL RESOURCES SPECIALIST,Department of the Navy,79468,Data Scientist,No location provided,
Interdisciplinary Social Scientist/Natural Resource Manager (Recreation)/Landscape Architect,Department of Agriculture,77488,Data Scientist,Vernal,Utah
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,87198,Data Scientist,Patuxent River,Maryland
