Job Title,Category,Skills,Tools,Type,Salary
Data Architect,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
Data Architect,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
Data Architect,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
"Sr. Data Architect, Data Warehouse & MPP - Nationwide Opport...",Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Hadoop ",Non-Government,
Solutions Architect,Data Architect,API ,"SQL, NoSQL, Azure, Cloud, Excel, Scala ",Non-Government,
Associate Solution Technical Architect,Data Architect,API ,"Cloud, Excel ",Non-Government,$65 - $75 an hour
DAT Connected Data Architect,Data Architect,Data Mining ,"Python, Cloud, Excel ",Non-Government,
Engineering Architect,Data Architect, ,"Python, SQL, Azure, Cloud, GCP ",Non-Government,
Data Architect,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
Data Architect,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
Cloud Data Architect,Data Architect, ,"Python, SQL, Spark, Cloud, Scala ",Non-Government,
Data Architect - Data Lake & Analytics - Nationwide Opportun...,Data Architect, ,"Python, SQL, Spark, NoSQL, Cloud, Hadoop, Machine Learning, AI ",Non-Government,"$108,900 a year"
Technical Architect,Data Architect,API ,"Cloud, Excel ",Non-Government,"$108,240 a year"
Data Architect - Data Warehouse & MPP - Nationwide Opportuni...,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
GCP Data Architect,Data Architect,ETL ,"Google Cloud, Cloud, GCP, Tableau ",Non-Government,"$140,000 - $150,000 a year"
Business Architect - Solution Consulting,Data Architect, ,"Cloud, Excel, Scala ",Non-Government,"$83,700 a year"
Need-Azure Infrastructure Architect,Data Architect, ,"Python, Azure, Cloud ",Non-Government,"$94,145 - $190,391 a year"
Data Engineer,Data Architect,API ,"SQL, Azure, Cloud, DataBricks ",Non-Government,
Data Architect - Data Warehouse & MPP - Nationwide Opportuni...,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
Tableau Architect,Data Architect, ,"Excel, Tableau, Machine Learning, AI ",Non-Government,Up to $85 an hour
Solution Architect,Data Architect, ,"Excel, Tableau, Machine Learning, AI ",Non-Government,"$104,600 a year"
Teradata Architect,Data Architect,ETL ,"Excel, Tableau ",Non-Government,$70 - $80 an hour
Principal Data Architect,Data Architect, ,"Spark, Excel, Machine Learning ",Non-Government,
Expert Data Architect,Data Architect,"Data Integration, Data Visualization, ETL, API ","Python, SQL, Cloud, Snowflake, Excel, Power BI, Tableau, Scala ",Non-Government,
Data Architect,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
"Data Scientist, Advanced Analytics",Data Architect,"Data Mining, Statistics ","Python, Scala, Machine Learning ",Non-Government,
Staff Data Architect,Data Architect, , ,Non-Government,"$132,000 - $192,000 a year"
Sr. Snowflake Data Architect,Data Architect,ETL ,"SQL, Azure, Cloud, Snowflake, Excel, Scala, AI ",Non-Government,
Staff Data Architect,Data Architect, , ,Non-Government,"$132,000 - $192,000 a year"
Data Architect,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
Data Architect,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
Data Architect,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
Data Architect,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
Data Architect,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
Business Architect - Solution Consulting,Data Architect, ,"Cloud, Excel, Scala ",Non-Government,"$83,700 a year"
Software Development Engineer,Data Architect,"Data Mining, Statistics ","Azure, Cloud, Excel ",Non-Government,
Front End Engineer,Data Architect, ,JavaScript ,Non-Government,"$100,000 - $120,000 a year"
Data Architect,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
Java Architect,Data Architect, ,"Azure, Cloud, GCP, Java  ",Non-Government,$90 - $95 an hour
Data Architect,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
Database Administrator SQL/PostgreSQL,Data Architect, ,"Python, SQL, Excel, Scala ",Non-Government,
Network Architect II,Data Architect, , ,Non-Government,
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
DAT Connected Data Architect,Data Architect,Data Mining ,"Python, Cloud, Excel ",Non-Government,
Sr. Data Integration Solution Architect,Data Architect,"Data Integration, ETL ","Python, SQL, Spark, Azure, Cloud, DataBricks, Snowflake, PyTorch, Power BI, Tableau, Scala, Machine Learning, Deep Learning ",Non-Government,"$140,000 - $150,000 a year"
Anaplan Model Builder / Solution Architect,Data Architect, ,Cloud ,Non-Government,$130 - $140 an hour
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
AWS Certified Solutions Architect,Data Architect, ,Cloud ,Non-Government,$50 - $75 an hour
Data Modeler - Architect,Data Architect,ETL ,"SQL, Snowflake, AI ",Non-Government,"$55,000 - $115,000 a year"
Front End Engineer,Data Architect, ,JavaScript ,Non-Government,"$100,000 - $120,000 a year"
Data Architect (100% Remote - US Based),Data Architect,ETL ,"Python, Spark, Cloud, Snowflake, Excel, Power BI, Tableau, Hadoop, Scala ",Non-Government,
Solutions Architect,Data Architect, ,Cloud ,Non-Government,
Elasticsearch Administrator/Developer,Data Architect,"Data Visualization, API ","SQL, Cloud, Scala ",Non-Government,From $70 an hour
"Data Scientist, Advanced Analytics",Data Architect,"Data Mining, Statistics ","Python, Scala, Machine Learning ",Non-Government,
Business Architect - Solution Consulting,Data Architect, ,"Cloud, Excel, Scala ",Non-Government,"$83,700 a year"
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
Software Architect,Data Architect, ,"Python, Google Cloud, Cloud ",Non-Government,"$170,100 a year"
Solution Architect,Data Architect,"Data Integration, ETL ","Python, SQL, Spark, Azure, Cloud, DataBricks, Snowflake, PyTorch, Power BI, Tableau, Scala, Machine Learning, Deep Learning ",Non-Government,"$104,600 a year"
Business Architect - Solution Consulting,Data Architect, ,"Cloud, Excel, Scala ",Non-Government,"$83,700 a year"
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
Solution Architect Data & AI,Data Architect, ,"SQL, Azure, Cloud, DataBricks, Snowflake, PyTorch, Excel, Hadoop, Machine Learning, AI ",Non-Government,
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
Solutions Architect,Data Architect, ,Cloud ,Non-Government,
Business Architect - Solution Consulting,Data Architect, ,"Cloud, Excel, Scala ",Non-Government,"$83,700 a year"
Electronic Health Records Solutions Architect,Data Architect, ,"Cloud, Excel, Scala ",Non-Government,"$151,184 - $257,012 a year"
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
Engineering Architect,Data Architect, ,"Python, SQL, Azure, Cloud, GCP ",Non-Government,
Big Data Architect,Data Architect,Data Mining ,"Python, SQL, Spark, JavaScript, NoSQL, Azure, Cloud, HTML, CSS, Hadoop ",Non-Government,$80 - $90 an hour
Software Architect,Data Architect, ,"Python, Google Cloud, Cloud ",Non-Government,"$170,100 a year"
Data Engineer,Data Architect,ETL ,"Python, SQL, JavaScript, HTML, CSS, Hadoop, Scala ",Non-Government,
Software Development Engineer,Data Architect,"Data Mining, Statistics ","Azure, Cloud, Excel ",Non-Government,
AWS Cloud Architect,Data Architect, ,"Python, Cloud ",Non-Government,From $100 an hour
Lead Data Architect - Work from Home,Data Architect,"ETL, API ","Cloud, Machine Learning, AI ",Non-Government,
Remote Solution Architect,Data Architect, ,Excel ,Non-Government,
Data Architect - Data Warehouse & MPP - Nationwide Opportuni...,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
Enterprise Data Architect - Remote!,Data Architect, ,"Python, Cloud, GCP ",Non-Government,
Data Architect/Analyst,Data Architect,"Data Mining, Data Integration, Data Analysis, ETL ","Excel, Power BI, Tableau ",Non-Government,$60 - $62 an hour
Enterprise Architect IV,Data Architect,ETL ,Scala ,Non-Government,
Data Solutions Architect,Data Architect,API ,"SQL, NoSQL, DataBricks, Snowflake, Scala ",Non-Government,
Sr. Solutions Architect,Data Architect, ,"SQL, NoSQL, Azure, Cloud, GCP, Excel, Scala, Machine Learning ",Non-Government,"$122,300 a year"
Director of Architecture - Data and Analytics,Data Architect, ,"Scala, Machine Learning ",Non-Government,
Sr. Database Architect,Data Architect, ,Scala ,Non-Government,$80 - $95 an hour
REMOTE Responsys Platform Architect,Data Architect,Data Integration ,Scala ,Non-Government,
"Sr. Data Architect, Data Warehouse & MPP - Nationwide Opport...",Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Hadoop ",Non-Government,
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
Business Architect - Solution Consulting,Data Architect, ,"Cloud, Excel, Scala ",Non-Government,"$83,700 a year"
Entry Level Information Technology,Data Architect,"Data Integration, API ","SQL, Cloud, Excel, AI ",Non-Government,
Sr Architect - Technology,Data Architect,Data Integration ,Excel ,Non-Government,
Data & Analytics Cloud Architect,Data Architect,Statistics ,"Azure, DataBricks, Snowflake, Excel, AI ",Non-Government,
Software Architect,Data Architect, ,"Python, Google Cloud, Cloud ",Non-Government,"$170,100 a year"
"Lead Program Manager, Manager Development",Data Architect, , ,Non-Government,"$94,000 - $130,000 a year"
Director of IT - Customer,Data Architect, ,"Cloud, Machine Learning, AI ",Non-Government,
Solution Architect Data & AI,Data Architect, ,"SQL, Azure, Cloud, DataBricks, Snowflake, PyTorch, Excel, Hadoop, Machine Learning, AI ",Non-Government,
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
Front End Engineer,Data Architect, ,JavaScript ,Non-Government,"$100,000 - $120,000 a year"
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
Data Architect - Data Warehouse & MPP - Nationwide Opportuni...,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
"Test Data Architect, US Remote Work Eligible",Data Architect,Data Integration ,"SQL, NoSQL, Cloud, Excel ",Non-Government,
Big Data Architect – AI,Data Architect,API ,"Python, SQL, Spark, Azure, Google Cloud, Cloud, Snowflake, Excel, Scala, Machine Learning, AI ",Non-Government,
Expert Data Architect,Data Architect,"Data Integration, Data Visualization, ETL, API ","Python, SQL, Cloud, Snowflake, Excel, Power BI, Tableau, Scala ",Non-Government,
Senior Data Architect,Data Architect,ETL ,"Spark, Azure, Cloud, DataBricks, Snowflake, Excel, Scala, Machine Learning, AI ",Non-Government,"From $120,000 a year"
Data Analytics Consultant,Data Architect,"ETL, API ","Python, SQL, Google Cloud, Cloud, Snowflake, GCP ",Non-Government,$70 - $80 an hour
Technical Architect,Data Architect,API ,"Cloud, HTML ",Non-Government,"$108,240 a year"
Data Architect - Data Lake & Analytics - Nationwide Opportun...,Data Architect, ,"Python, SQL, Spark, NoSQL, Cloud, Hadoop, Machine Learning, AI ",Non-Government,"$108,900 a year"
Solution Architect,Data Architect, ,"SQL, Azure, Cloud, DataBricks, Snowflake, PyTorch, Excel, Hadoop, Machine Learning, AI ",Non-Government,
Sr. Architect - Business Intelligence,Data Architect,"Data Integration, Data Visualization, Data Analysis, ETL ","SQL, Spark, Tableau, Scala, AI ",Non-Government,
Database Architect,Data Architect,Data Mining ,"SQL, Excel, Scala ",Non-Government,
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
Data & Analytics Cloud Architect,Data Architect,Statistics ,"Azure, DataBricks, Snowflake, Excel, AI ",Non-Government,
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
Product Solutions Analyst ll,Data Architect,"Data Analysis, ETL ","SQL, Excel ",Non-Government,"Up to $123,595 a year"
Data Scientist,Data Architect,"Data Analysis, Statistics ","Python, SQL, NoSQL, Cloud, Scala, Machine Learning, AI ",Non-Government,"$125,000 - $150,000 a year"
Solutions Architect,Data Architect, , ,Non-Government,
Software Architect,Data Architect, ,"Python, Google Cloud, Cloud ",Non-Government,"$170,100 a year"
Data Architect & Migration Manager,Data Architect,Data Migration ,Excel ,Non-Government,
Enterprise Cloud Data Platform Architect,Data Architect,ETL ,"Azure, Cloud, Excel, Scala ",Non-Government,$85 - $95 an hour
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
Sr Architect - Technology,Data Architect,Data Integration ,Excel ,Non-Government,
Solution Architect/Data Engineer,Data Architect,"Data Collection, Statistics ",Excel ,Non-Government,
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
Director of Architecture - Data and Analytics,Data Architect, ,"Scala, Machine Learning ",Non-Government,
AWS Solution Architect-Contract W2,Data Architect, , ,Non-Government,$55 - $80 an hour
AWS Cloud Architect,Data Architect, ,"Python, Cloud ",Non-Government,From $100 an hour
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
"Principal Data Architect, Search - Nationwide Opportunities",Data Architect, ,"Python, SQL, NoSQL, Cloud, Hadoop, Scala, Machine Learning ",Non-Government,"$122,300 a year"
Remote Solution Architect,Data Architect, ,Excel ,Non-Government,
"Principal Architect, Data",Data Architect,Data Collection ,"Python, Excel, Scala ",Non-Government,
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
Solutions Architect,Data Architect, , ,Non-Government,
Technical Architect Automation (Remote or MA),Data Architect, ,AI ,Non-Government,
Solutions Architect,Data Architect, , ,Non-Government,"$95,000 - $145,000 a year"
Cloud Architect,Data Architect,Statistics ,"Azure, DataBricks, Snowflake, Excel, AI ",Non-Government,"Up to $200,000 a year"
AWS Solutions Architect - Microsoft Platform,Data Architect, ,"SQL, Azure, Cloud ",Non-Government,"$122,300 a year"
Data Architect - Data Lake & Analytics - Nationwide Opportun...,Data Architect, ,"Python, SQL, Spark, NoSQL, Cloud, Hadoop, Machine Learning, AI ",Non-Government,"$108,900 a year"
Data Services Architect,Data Architect,"ETL, API ","Python, SQL, Scala ",Non-Government,
Researcher II,Data Architect,"Data Analysis, Statistics ","Python, Cloud, PyTorch, Excel, Java , Machine Learning, AI ",Non-Government,
Solutions Architect / Kubernetes Application Platforms - REM...,Data Architect, ,"Python, Azure, Cloud, Scala, AI ",Non-Government,"$130,000 - $160,000 a year"
Data & Applied Scientist,Data Architect, ,"Python, PyTorch, Power BI, Machine Learning, Deep Learning, AI ",Non-Government,
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,"$94,772 - $151,657 a year"
Software Architect,Data Architect, ,"Python, Google Cloud, Cloud ",Non-Government,"$170,100 a year"
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
Quality Assurance Analyst,Data Architect,Data Analysis ,SQL ,Non-Government,"$65,000 - $75,000 a year"
API Architect,Data Architect,API ,"SQL, Cloud, GCP, Excel, Scala ",Non-Government,$78 - $79 an hour
Data Architect,Data Architect,Data Integration ,"SQL, Azure, Cloud, Hadoop ",Non-Government,
Solutions Architect,Data Architect, ,Cloud ,Non-Government,
Business Data Architect,Data Architect, ,"Scala, Machine Learning ",Non-Government,
Systems Architect,Data Architect,API ,"SQL, NoSQL, Azure ",Non-Government,"$95,000 - $135,000 a year"
Data Architect,Data Architect,Data Integration ,"SQL, Azure, Cloud, Hadoop ",Non-Government,
Data Architect (Big Query),Data Architect, ,"SQL, Snowflake ",Non-Government,
Data Architect - Data Lake & Analytics - Nationwide Opportun...,Data Architect, ,"Python, SQL, Spark, NoSQL, Cloud, Hadoop, Machine Learning, AI ",Non-Government,
EDW Architect I - Data Warehousing,Data Architect, ,"SQL, NoSQL, Cloud, Excel, Hadoop ",Non-Government,
Data Architect - Data Lake & Analytics - Nationwide Opportun...,Data Architect, ,"Python, SQL, Spark, NoSQL, Cloud, Hadoop, Machine Learning, AI ",Non-Government,
Data Architect,Data Architect,Data Integration ,"SQL, Azure, Cloud, Hadoop ",Non-Government,
Data Architect - Data Lake & Analytics,Data Architect, ,"Python, SQL, Spark, NoSQL, Cloud, Hadoop, Machine Learning, AI ",Non-Government,
Director of Data Engineering,Data Architect,ETL ,"Azure, Cloud, GCP, Scala, Machine Learning, Deep Learning ",Non-Government,
Staff Data Architect,Data Architect, , ,Non-Government,"$132,000 - $192,000 a year"
Architect - Data Center - Remote- United States,Data Architect, , ,Non-Government,
Engineering Architect,Data Architect, ,"Python, SQL, Azure, Cloud, GCP ",Non-Government,
Data Architect,Data Architect,Data Integration ,"SQL, Azure, Cloud, Hadoop ",Non-Government,
AWS Cloud Architect,Data Architect, ,"Python, Cloud ",Non-Government,From $100 an hour
Data Architect,Data Architect,Data Integration ,"SQL, Azure, Cloud, Hadoop ",Non-Government,
Data Architect,Data Architect,Data Integration ,"SQL, Azure, Cloud, Hadoop ",Non-Government,
"Data Visualization Engineer, System Optimization",Data Architect,Data Visualization ,"Python, Azure, Cloud, Excel, Tableau ",Non-Government,"$110,000 - $120,000 a year"
Enterprise Architect,Data Architect,"Data Mining, Data Visualization ","SQL, NoSQL, Hadoop ",Non-Government,"$150,000 - $232,000 a year"
Staff Data Architect,Data Architect, , ,Non-Government,"$132,000 - $192,000 a year"
AWS Solutions Architect - Microsoft Platform,Data Architect, ,"SQL, Azure, Cloud ",Non-Government,"$122,300 a year"
Lead Software Architect,Data Architect, ,"Python, Excel, Scala ",Non-Government,"$150,000 - $160,000 a year"
Data Architect - Data Warehouse & MPP - Nationwide Opportuni...,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
Data Architect - Data Lake & Analytics - Nationwide Opportun...,Data Architect, ,"Python, SQL, Spark, NoSQL, Cloud, Hadoop, Machine Learning, AI ",Non-Government,
"Data Analyst IV (Tableau or Data Architect, SAP and Salesfor...",Data Architect, ,Tableau ,Non-Government,$77.00 - $77.42 an hour
Software Engineer_C#,Data Architect, , ,Non-Government,"$85,000 - $95,000 a year"
"Solutions Architect, Data Replication",Data Architect, ,"SQL, Cloud, Scala ",Non-Government,
Technical Architect,Data Architect, ,"Python, SQL, Spark, NoSQL, Cloud, GCP, Hadoop, Scala, AI ",Non-Government,
Performance Architect,Data Architect, ,Python ,Non-Government,
Data Pipeline Engineer | Cloud Engineer Architect - Health O...,Data Architect,"Data Analysis, ETL ","Python, Cloud, PyTorch, GCP, Excel, Scala, Machine Learning ",Non-Government,
Software Developer - Big Data,Data Architect, ,"SQL, Spark, Cloud, Hadoop, Scala ",Non-Government,
"Sr. Data Architect, Data Warehouse & MPP - Nationwide Opport...",Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Hadoop ",Non-Government,"$122,300 a year"
Software Architect,Data Architect, ,"Python, Excel, Scala ",Non-Government,"From $165,000 a year"
Data Architect,Data Architect,Data Integration ,"SQL, Azure, Cloud, Hadoop ",Non-Government,
Staff Data Architect,Data Architect, , ,Non-Government,"$132,000 - $192,000 a year"
Solutions Architect,Data Architect, ,Cloud ,Non-Government,
Data Modeling Architect,Data Architect,Data Analysis , ,Non-Government,
Remote Senior Solutions Architect (Java),Data Architect,API ,"Cloud, Scala, Java  ",Non-Government,"$185,000 - $205,000 a year"
Principal Salesforce Solutions Architect,Data Architect, ,"JavaScript, Cloud, HTML, CSS ",Non-Government,
Need-Azure Infrastructure Architect,Data Architect, ,"Python, Azure, Cloud ",Non-Government,"$94,145 - $190,391 a year"
Customer Data Platforms Architect,Data Architect,Data Integration ,"SQL, Cloud ",Non-Government,
Database Architect (Remote),Data Architect, , ,Non-Government,
Staff Data Architect,Data Architect, , ,Non-Government,"$132,000 - $192,000 a year"
"Sr. Data Architect, Data Warehouse & MPP - Nationwide Opport...",Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Hadoop ",Non-Government,"$122,300 a year"
"Sr. Data Architect, Data Lake & Analytics - Nationwide Oppor...",Data Architect, ,"Python, SQL, Spark, NoSQL, Cloud, Hadoop, Machine Learning, AI ",Non-Government,
Data Architect,Data Architect,Data Integration ,"SQL, Azure, Cloud, Hadoop ",Non-Government,
Enterprise Data Architect,Data Architect, ,"Snowflake, Excel ",Non-Government,
Data Architect,Data Architect,Data Integration ,"SQL, Azure, Cloud, Hadoop ",Non-Government,
Full Stack Software Engineer,Data Architect,API ,"SQL, Cloud, Scala ",Non-Government,
Principal IT Architect,Data Architect, ,Cloud ,Non-Government,$82 - $86 an hour
PMTS/Software Engineering Architect or Principal Architect,Data Architect, ,"Cloud, Excel, Scala, Machine Learning, AI ",Non-Government,"$158,000 a year"
Genesys Developer,Data Architect, ,"Excel, Java  ",Non-Government,$65 - $75 an hour
Platform Architect,Data Architect, ,"Cloud, Excel, Scala ",Non-Government,"$140,000 - $175,000 a year"
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
"Solutions Architect, Data Replication",Data Architect, ,"SQL, Cloud, Scala ",Non-Government,
Data Architect/Analyst,Data Architect,"Data Mining, Data Integration, Data Analysis, ETL ","Excel, Power BI, Tableau ",Non-Government,$60 - $62 an hour
Software Architect,Data Architect, ,"SQL, Cloud ",Non-Government,
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
BI Data Warehouse Architect,Data Architect, ,"Python, JavaScript ",Non-Government,
Enterprise Data Architect - 100% Remote,Data Architect,"Data Integration, Data Visualization, Statistics ","SQL, Snowflake, Excel, Machine Learning ",Non-Government,
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
"Director, Data Solutions Architect",Data Architect,"Data Integration, ETL ","Python, SQL, NoSQL, Cloud, Scala, Java  ",Non-Government,
Data Architect - Data Warehouse & MPP - Nationwide Opportuni...,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
Technical Architect,Data Architect,API ,"Cloud, HTML ",Non-Government,"$108,240 a year"
Sr Data Architect - Data Lake & Analytics - Nationwide Oppor...,Data Architect, ,"Python, SQL, Spark, NoSQL, Cloud, Hadoop, Machine Learning, AI ",Non-Government,
Data Engineer,Data Architect,ETL ,"Python, SQL, JavaScript, HTML, CSS, Hadoop, Scala ",Non-Government,
Staff Data Architect,Data Architect, , ,Non-Government,"$132,000 - $192,000 a year"
Data Engineer,Data Architect,ETL ,"Python, SQL, JavaScript, HTML, CSS, Hadoop, Scala ",Non-Government,
Architect | Data Centers,Data Architect, ,Excel ,Non-Government,
Tableau Architect,Data Architect, ,"Excel, Tableau, Machine Learning, AI ",Non-Government,Up to $85 an hour
Solution architect,Data Architect,API ,"Excel, Scala ",Non-Government,
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
Staff Data Architect,Data Architect, , ,Non-Government,"$132,000 - $192,000 a year"
Principal Technology Architect -Salesforce,Data Architect, ,Java  ,Non-Government,
Data Architect - Data Lake & Analytics - Nationwide Opportun...,Data Architect, ,"Python, SQL, Spark, NoSQL, Cloud, Hadoop, Machine Learning, AI ",Non-Government,
Associate Solution Technical Architect,Data Architect,API ,"Cloud, Excel ",Non-Government,$65 - $75 an hour
Sr. Architect - Business Intelligence,Data Architect,"Data Integration, Data Visualization, Data Analysis, ETL ","SQL, Spark, Tableau, Scala, AI ",Non-Government,
Electronic Health Records Solutions Architect,Data Architect, ,"Cloud, Excel, Scala ",Non-Government,"$151,184 - $257,012 a year"
Sr Data Architect - Data Warehouse & MPP - Nationwide Opport...,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Hadoop ",Non-Government,
Technical Architect,Data Architect,API ,"Cloud, HTML ",Non-Government,"$121,800 a year"
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
Data Architect,Data Architect,ETL ,"Azure, Cloud, GCP, Excel, Scala ",Non-Government,
AWS Data Sol Architect,Data Architect, ,"Spark, Cloud, Excel, Power BI ",Non-Government,
"Sr. Data Architect, Data Lake & Analytics - Nationwide Oppor...",Data Architect, ,"Python, SQL, Spark, NoSQL, Cloud, Hadoop, Machine Learning, AI ",Non-Government,
ML Ops Architect (USA Remote),Data Architect,"Data Mining, ETL, Statistics ","Python, SQL, Spark, Azure, Google Cloud, Cloud, Excel, Hadoop, Java , Machine Learning, AI ",Non-Government,
Open Indoor Architect,Data Architect,API ,"Python, Cloud, Scala ",Non-Government,
Solutions Architect,Data Architect, ,"SQL, Cloud, Scala ",Non-Government,
Sr. Data Integration Solution Architect,Data Architect,"Data Integration, ETL ","Python, SQL, Spark, Azure, Cloud, DataBricks, Snowflake, PyTorch, Power BI, Tableau, Scala, Machine Learning, Deep Learning ",Non-Government,"$140,000 - $150,000 a year"
Data Architect - Data Warehouse & MPP - Nationwide Opportuni...,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
Technical Architect,Data Architect,API ,"Cloud, HTML ",Non-Government,
Staff Data Architect,Data Architect, , ,Non-Government,"$132,000 - $192,000 a year"
Data Planning Architect,Data Architect,"Data Collection, Data Visualization ","JavaScript, Azure, Excel ",Non-Government,
Solutions Architect,Data Architect, ,"SQL, Cloud, Scala ",Non-Government,
Data Architect - Data Warehouse & MPP - Nationwide Opportuni...,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
"Sr. Data Architect, Data Lake & Analytics - Nationwide Oppor...",Data Architect, ,"Python, SQL, Spark, NoSQL, Cloud, Hadoop, Machine Learning, AI ",Non-Government,"$122,300 a year"
"Sr. Data Architect, Data Warehouse & MPP - Nationwide Opport...",Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Hadoop ",Non-Government,
Data Warehouse Architect,Data Architect, ,"Python, JavaScript ",Non-Government,
GCP Data Architect,Data Architect,ETL ,"Google Cloud, Cloud, GCP, Tableau ",Non-Government,"$140,000 - $150,000 a year"
Senior Data Architect,Data Architect,"ETL, Statistics ","SQL, JavaScript, CSS, Excel ",Non-Government,"$80,778 - $122,915 a year"
Software Engineer,Data Architect, ,"Cloud, Excel, Scala, Machine Learning, AI ",Non-Government,
"Software Engineer – C# (Melbourne, FL)",Data Architect,API ,"SQL, Azure, Cloud, Scala ",Non-Government,
GPU Architectural Modeling Engineer,Data Architect,"Data Collection, API ","Python, Excel ",Non-Government,
Remote Software Engineer,Data Architect,"Data Analysis, API ","SQL, Cloud ",Non-Government,
Data Architect,Data Architect,ETL ,"Python, Cloud, Excel, Scala, Java  ",Non-Government,
Data Architect - Data Warehouse & MPP - Nationwide Opportuni...,Data Architect,ETL ,"Python, SQL, NoSQL, Cloud, Excel, Machine Learning ",Non-Government,
AWS Data Sol Architect,Data Architect, ,"Spark, Cloud, Excel, Power BI ",Non-Government,
